"seed","PLci","percolation"
1,0.0595238095238095,74
2,0.0476190476190476,385
3,0.0357142857142857,84
4,0.0595238095238095,486
5,0.0515873015873016,72
6,0.0634920634920635,465
7,0.0595238095238095,106
8,0.0595238095238095,600
9,0.0436507936507936,48
10,0.0634920634920635,245
11,0.0595238095238095,76
12,0.0357142857142857,390
13,0.0515873015873016,32
14,0.0634920634920635,370
15,0.0595238095238095,62
16,0.0833333333333333,498
17,0.0595238095238095,34
18,0.0634920634920635,265
19,0.0595238095238095,48
20,0.0674603174603175,336
21,0.0357142857142857,34
22,0.0634920634920635,320
23,0.0595238095238095,52
24,0.0833333333333333,390
25,0.0357142857142857,40
26,0.0238095238095238,57
27,0.0277777777777778,32
28,0.0515873015873016,112
29,0.0595238095238095,38
30,0.0595238095238095,144
31,0.0436507936507936,48
32,0.0753968253968254,132
33,0.0595238095238095,256
34,0.0555555555555556,26
35,0.0634920634920635,44
36,0.134920634920635,207
37,0.0476190476190476,40
38,0.0555555555555556,41
39,0.0634920634920635,55
40,0.103174603174603,1131
41,0.126984126984127,63
42,0.0595238095238095,178
43,0.0714285714285714,42
44,0.0634920634920635,132
45,0.0634920634920635,35
46,0.0595238095238095,164
47,0.0555555555555556,25
48,0.0634920634920635,43
49,0.111111111111111,177
50,0.0476190476190476,25
51,0.0555555555555556,17
52,0.0634920634920635,31
53,0.0912698412698413,834
54,0.0714285714285714,56
55,0.0912698412698413,148
56,0.0714285714285714,40
57,0.0873015873015873,102
58,0.0634920634920635,29
59,0.0436507936507936,196
60,0.0555555555555556,22
61,0.0634920634920635,25
62,0.0793650793650794,120
63,0.0476190476190476,35
64,0.0555555555555556,19
65,0.0634920634920635,27
66,0.0595238095238095,642
67,0.0714285714285714,50
68,0.0833333333333333,114
69,0.0714285714285714,29
70,0.0634920634920635,96
71,0.0634920634920635,28
72,0.0634920634920635,165
73,0.0634920634920635,41
74,0.0634920634920635,22
75,0.0476190476190476,30
76,0.0595238095238095,232
77,0.0555555555555556,33
78,0.0714285714285714,69
79,0.0793650793650794,33
80,0.0357142857142857,48
81,0.0396825396825397,14
82,0.0674603174603175,106
83,0.126984126984127,67
84,0.0753968253968254,112
85,0.0515873015873016,96
86,0.0714285714285714,41
87,0.0714285714285714,48
88,0.0396825396825397,210
89,0.0555555555555556,47
90,0.126984126984127,71
91,0.0515873015873016,106
92,0.0753968253968254,74
93,0.0714285714285714,37
94,0.0714285714285714,45
95,0.0396825396825397,264
96,0.0555555555555556,52
97,0.126984126984127,67
98,0.0833333333333333,110
99,0.0753968253968254,82
100,0.0714285714285714,27
101,0.0714285714285714,29
102,0.134920634920635,237
103,0.0555555555555556,46
104,0.126984126984127,68
105,0.0515873015873016,122
106,0.0753968253968254,78
107,0.0555555555555556,24
108,0.0555555555555556,19
109,0.134920634920635,231
110,0.0555555555555556,42
111,0.0357142857142857,116
112,0.0396825396825397,19
113,0.0436507936507936,54
114,0.0396825396825397,19
115,0.0357142857142857,0
116,0.0238095238095238,3
117,0.0119047619047619,0
118,0.0238095238095238,4
119,0.0833333333333333,180
120,0.0396825396825397,33
121,0.0833333333333333,174
122,0.0396825396825397,28
123,0.0357142857142857,0
124,0.0238095238095238,5
125,0.0119047619047619,0
126,0.0238095238095238,6
127,0.0753968253968254,154
128,0.0396825396825397,24
129,0.0357142857142857,140
130,0.0396825396825397,19
131,0.0119047619047619,0
132,0.0238095238095238,7
133,0.0357142857142857,0
134,0.0238095238095238,4
135,0.0674603174603175,80
136,0.0396825396825397,20
137,0.0357142857142857,78
138,0.0396825396825397,19
139,0.0357142857142857,0
140,0.0238095238095238,8
141,0.0119047619047619,0
142,0.0238095238095238,8
143,0.0515873015873016,48
144,0.0595238095238095,84
145,0.0515873015873016,76
146,0.0515873015873016,72
147,0.0595238095238095,106
148,0.0277777777777778,122
149,0.0277777777777778,48
150,0.0277777777777778,76
151,0.0436507936507936,46
152,0.0277777777777778,32
153,0.0595238095238095,62
154,0.0277777777777778,108
155,0.0277777777777778,38
156,0.0595238095238095,48
157,0.0277777777777778,68
158,0.0515873015873016,34
159,0.0595238095238095,52
160,0.0674603174603175,96
161,0.0674603174603175,78
162,0.0595238095238095,38
163,0.0436507936507936,48
164,0.0277777777777778,62
165,0.0753968253968254,46
166,0.0714285714285714,303
167,0.0476190476190476,303
168,0.0634920634920635,249
169,0.0912698412698413,744
170,0.130952380952381,960
171,0.107142857142857,352
172,0.0873015873015873,620
173,0.107142857142857,212
174,0.0912698412698413,174
175,0.0357142857142857,130
176,0.0436507936507936,148
177,0.0515873015873016,94
178,0.0515873015873016,196
179,0.0714285714285714,162
180,0.0436507936507936,134
181,0.0436507936507936,108
182,0.0515873015873016,110
183,0.0515873015873016,70
184,0.0515873015873016,152
185,0.0555555555555556,105
186,0.0436507936507936,72
187,0.0436507936507936,92
188,0.0515873015873016,116
189,0.0436507936507936,48
190,0.0753968253968254,94
191,0.0555555555555556,93
192,0.0357142857142857,68
193,0.0436507936507936,28
194,0.0436507936507936,0
195,0.115079365079365,142
196,0.0198412698412698,0
197,0.0277777777777778,74
198,0.0436507936507936,0
199,0.0873015873015873,135
200,0.0277777777777778,66
201,0.0436507936507936,0
202,0.0436507936507936,60
203,0.0198412698412698,0
204,0.0277777777777778,80
205,0.0436507936507936,0
206,0.0277777777777778,46
207,0.0198412698412698,0
208,0.0277777777777778,58
209,0.0436507936507936,0
210,0.0198412698412698,34
211,0.0198412698412698,0
212,0.0317460317460317,135
213,0.0833333333333333,228
214,0.0555555555555556,216
215,0.0476190476190476,102
216,0.0912698412698413,132
217,0.0555555555555556,198
218,0.0317460317460317,69
219,0.0753968253968254,160
220,0.0634920634920635,189
221,0.0793650793650794,87
222,0.0317460317460317,66
223,0.0595238095238095,64
224,0.0793650793650794,129
225,0.0436507936507936,28
226,0.0436507936507936,30
